make,model,year,complaintCount,riskFactor
Acura,MDX,2010,60,0.95
Acura,MDX,2011,78,0.95
Acura,MDX,2012,89,0.95
Acura,MDX,2013,40,0.9
Acura,MDX,2014,225,1.0
Acura,MDX,2015,90,0.95
Acura,MDX,2016,374,1.05
Acura,MDX,2017,233,1.0
Acura,MDX,2018,169,1.0
Acura,MDX,2019,213,1.0
Acura,MDX,2020,159,1.0
Acura,MDX,2022,80,0.95
Acura,MDX,2023,19,0.9
Acura,MDX,2024,13,0.9
Acura,RDX,2010,26,0.9
Acura,RDX,2011,21,0.9
Acura,RDX,2012,18,0.9
Acura,RDX,2013,160,1.0
Acura,RDX,2014,224,1.0
Acura,RDX,2015,378,1.05
Acura,RDX,2016,46,0.9
Acura,RDX,2017,86,0.95
Acura,RDX,2018,81,0.95
Acura,RDX,2019,402,1.05
Acura,RDX,2020,303,1.05
Acura,RDX,2021,94,0.95
Acura,RDX,2022,26,0.9
Acura,RDX,2023,19,0.9
Acura,RDX,2024,6,0.9
Acura,TLX,2012,1,0.9
Acura,TLX,2015,473,1.05
Acura,TLX,2016,131,0.95
Acura,TLX,2017,84,0.95
Acura,TLX,2018,106,0.95
Acura,TLX,2019,86,0.95
Acura,TLX,2020,59,0.95
Acura,TLX,2021,42,0.9
Acura,TLX,2022,14,0.9
Acura,TLX,2023,4,0.9
Acura,TLX,2024,6,0.9
Audi,A4,2010,77,0.95
Audi,A4,2011,17,0.9
Audi,A4,2012,22,0.9
Audi,A4,2013,27,0.9
Audi,A4,2014,36,0.9
Audi,A4,2015,19,0.9
Audi,A4,2016,18,0.9
Audi,A4,2017,73,0.95
Audi,A4,2018,27,0.9
Audi,A4,2019,10,0.9
Audi,A4,2020,4,0.9
Audi,A4,2021,6,0.9
Audi,A4,2022,5,0.9
Audi,A4,2023,5,0.9
Audi,A4,2024,3,0.9
Audi,A6,2010,24,0.9
Audi,A6,2011,20,0.9
Audi,A6,2012,85,0.95
Audi,A6,2013,75,0.95
Audi,A6,2014,40,0.9
Audi,A6,2015,27,0.9
Audi,A6,2016,70,0.95
Audi,A6,2017,23,0.9
Audi,A6,2018,12,0.9
Audi,A6,2019,176,1.0
Audi,A6,2020,30,0.9
Audi,A6,2021,9,0.9
Audi,A6,2022,2,0.9
Audi,Q5,2010,120,0.95
Audi,Q5,2011,187,1.0
Audi,Q5,2012,188,1.0
Audi,Q5,2013,102,0.95
Audi,Q5,2014,105,0.95
Audi,Q5,2015,106,0.95
Audi,Q5,2016,86,0.95
Audi,Q5,2017,50,0.9
Audi,Q5,2018,254,1.0
Audi,Q5,2019,49,0.9
Audi,Q5,2020,26,0.9
Audi,Q5,2021,67,0.95
Audi,Q5,2022,10,0.9
Audi,Q5,2023,39,0.9
Audi,Q5,2024,7,0.9
Audi,Q7,2010,44,0.9
